"","a",""
"24","1","rt shri in lok sabha  rahul gandhi  muje yaha kbhi bolne hee nhi diya jata  sumitra mahajan  aacha thik h chal bol  "
"25","1","rt shri in lok sabha  rahul gandhi  muje yaha kbhi bolne hee nhi diya jata  sumitra mahajan  aacha thik h chal bol  "
"26","1","rt shri in lok sabha  rahul gandhi  muje yaha kbhi bolne hee nhi diya jata  sumitra mahajan  aacha thik h chal bol  "
"27","1","rt shri in lok sabha  rahul gandhi  muje yaha kbhi bolne hee nhi diya jata  sumitra mahajan  aacha thik h chal bol  "
"28","1","rt shri in lok sabha  rahul gandhi  muje yaha kbhi bolne hee nhi diya jata  sumitra mahajan  aacha thik h chal bol  "
"29","1","in lok sabha  rahul gandhi  muje yaha kbhi bolne hee nhi diya jata  sumitra mahajan  aacha thik h chal  tcoiikubam"
"30","1","richastweets sumitra mahajan should learn from this lady how to run the  parliament"
"31","1","you have seen our honorable loksabha speaker smtsumitra mahajan  in session now look how pakistan loksabha speak  tcoqsjmdseol"
"32","1","rt firstpost icymi in the budgetsession a noconfidence motion was evaded day after day however lok sabha speaker sumitra mahajan co "
"33","1","rt narendramodi inaugurated the newly constructed western court annexe in delhi i congratulate speaker sumitra mahajan ji and all those "
"34","1","rt narendramodi inaugurated the newly constructed western court annexe in delhi i congratulate speaker sumitra mahajan ji and all those "
"35","1","rt rkgupta sumitra mahajan and venkainaidu must gang theirheads in shame  and must be held responsiblefor the loss of parliamentt "
"36","1","rt rkgupta sumitra mahajan and venkainaidu must gang theirheads in shame  and must be held responsiblefor the loss of parliamentt "
"37","1","sumitra mahajan and venkainaidu must gang theirheads in shame  and must be held responsiblefor the loss of parlia  tcovrswizyuy"
"38","1","tcocdjarhrpt  narendramodi ji any possibility of hiring this lady for the next session of our great pa  tcopiwgyhnwts"
"39","1","rt naanjilpeter                      the bjp lost in crucial lok sabha bypolls in gorakphur and phulpur recently and lok sabha speaker "
"40","1","                     the bjp lost in crucial lok sabha bypolls in gorakphur and phulpur recently and lok sabha sp  tcomigfbpeko"
"41","1","national tourism awards to travel tourism and hospitality industry sumitra mahajan spea tcobsuxhstwc pebbleinthestillwaters"
"42","1","rt narendramodi inaugurated the newly constructed western court annexe in delhi i congratulate speaker sumitra mahajan ji and all those "
"43","1","the bjp lost in crucial lok sabha bypolls in gorakphur and phulpur recently and lok sabha speaker sumitra mahajan  tcohcnverfh"
"44","1","sumitra mahajan is too biased to have the courage to show such       tcotusptcwilw"
"45","1","rt narendramodi inaugurated the newly constructed western court annexe in delhi i congratulate speaker sumitra mahajan ji and all those "
"46","1","rt narendramodi inaugurated the newly constructed western court annexe in delhi i congratulate speaker sumitra mahajan ji and all those "
"47","1","rt narendramodi inaugurated the newly constructed western court annexe in delhi i congratulate speaker sumitra mahajan ji and all those "
"48","1","rt narendramodi inaugurated the newly constructed western court annexe in delhi i congratulate speaker sumitra mahajan ji and all those "
"49","1","lesson in exercise of power for smt sumitra mahajan             atleast the tax payers money wont go waste in washout s  tcoljxgls"
"50","1","rt narendramodi inaugurated the newly constructed western court annexe in delhi i congratulate speaker sumitra mahajan ji and all those "
"51","1","maheshpandya bhaiyyajispeaks smokingskills beinghumor sumitra mahajan needs to learn from this lady"
"52","1","rt ani delhi ysr congress party members on indefinite hunger strike at andhra pradesh bhawan over demand of special status for andhra pr "
"53","1","rt skmittal do not test patience of sumitra mahajan otherwise you except journos shall all be treated the way pakistani speaker is tr "
"54","1","do not test patience of sumitra mahajan otherwise you except journos shall all be treated the way pakistani speak  tcoflzgtgj"
"55","1","just saw a video of pakistan lady speaker dealing with rowdy member of national assembly sumitra mahajan could tak  tcoylybko"
"56","1","rt narendramodi inaugurated the newly constructed western court annexe in delhi i congratulate speaker sumitra mahajan ji and all those "
"57","1","rt sandijan mkkaur onlyforindia dabang lady sumitra mahajan ji ense thoda to sabak lejeye thoda strict ho jaayeye aap bhe"
"58","1","rt ani delhi ysr congress party members on indefinite hunger strike at andhra pradesh bhawan over demand of special status for andhra pr "
"59","1","mkkaur onlyforindia dabang lady sumitra mahajan ji ense thoda to sabak lejeye thoda strict ho jaayeye aap bhe"
"60","1","rt narendramodi inaugurated the newly constructed western court annexe in delhi i congratulate speaker sumitra mahajan ji and all those "
"61","1","rt ysjagancm the mps submitted their resignations to lok sabha speaker sumitra mahajan over the nda government s failure to grant spec "
"62","1","rt narendramodi inaugurated the newly constructed western court annexe in delhi i congratulate speaker sumitra mahajan ji and all those "
"63","1","rt narendramodi inaugurated the newly constructed western court annexe in delhi i congratulate speaker sumitra mahajan ji and all those "
"64","1","rt iffidel its not sumitra mahajan failure that she fail to take noconfidence motion before end of lok sabha session nail will be hamme "
"65","1","rt newsworldin ysrcp lok sabha mps submitted their resignations to speaker sumitra mahajan specialstatus andhrapradesh ysrcpdmo ysch "
"66","1","rt narendramodi inaugurated the newly constructed western court annexe in delhi i congratulate speaker sumitra mahajan ji and all those "
"67","1","rt narendramodi inaugurated the newly constructed western court annexe in delhi i congratulate speaker sumitra mahajan ji and all those "
"68","1","sarvesh newsindia sudhanshutrived awasthis sansad nahi chali to en sabhi ko ek bhi paisa vetan nahi d  tcoznpjythl"
"69","1","                                                                                                         tcogewakenof"
"70","1","while rajya sabha chairman m venkaiah naidu asked the protestors not to make the house a clog in the wheel of pro  tcosrhqpuef"
"71","1","rt mosharibhai on the occasion of inauguration of annexe building of western court by honble prime minister sh narendra modi ji and hon "
"72","1","rt mosharibhai on the occasion of inauguration of annexe building of western court by honble prime minister sh narendra modi ji and hon "
"73","1","rt narendramodi inaugurated the newly constructed western court annexe in delhi i congratulate speaker sumitra mahajan ji and all those "
"74","1","rt ysjagancm the mps submitted their resignations to lok sabha speaker sumitra mahajan over the nda government s failure to grant spec "
"75","1","rt narendramodi inaugurated the newly constructed western court annexe in delhi i congratulate speaker sumitra mahajan ji and all those "
"76","1","sumitra mahajan should have taken noconfidence motion in lok sabha despite disruption rule of procedure allows it  tcoxylkott"
"77","1","rt narendramodi inaugurated the newly constructed western court annexe in delhi i congratulate speaker sumitra mahajan ji and all those "
"78","1","rt malawdy in the wake of a noconfidencemotion motion being evaded day after day in the justconcluded budgetsession  i play with some "
"79","1","rt newsnationtv five ysrcp mps submit resignations to loksabha speaker smahajanls tcougvxfbjzw"
"80","1","rt narendramodi inaugurated the newly constructed western court annexe in delhi i congratulate speaker sumitra mahajan ji and all those "
"81","1","rt narendramodi inaugurated the newly constructed western court annexe in delhi i congratulate speaker sumitra mahajan ji and all those "
"82","1","rt firstpost icymi in the budgetsession a noconfidence motion was evaded day after day however lok sabha speaker sumitra mahajan co "
"83","1","rt iffidel its not sumitra mahajan failure that she fail to take noconfidence motion before end of lok sabha session nail will be hamme "
"84","1","rt iffidel its not sumitra mahajan failure that she fail to take noconfidence motion before end of lok sabha session nail will be hamme "
"85","1","rt iffidel its not sumitra mahajan failure that she fail to take noconfidence motion before end of lok sabha session nail will be hamme "
"86","1","rt iffidel its not sumitra mahajan failure that she fail to take noconfidence motion before end of lok sabha session nail will be hamme "
"87","1","its not sumitra mahajan failure that she fail to take noconfidence motion before end of lok sabha session nail wi  tcopkrwxx"
"88","1","rt bhayankur the bjp and sumitra mahajan have shown a nice little way for future governments to avoid noconfidence motions and without "
"89","1","rt firstpost icymi in the budgetsession a noconfidence motion was evaded day after day however lok sabha speaker sumitra mahajan co "
"90","1","in the wake of a noconfidencemotion motion being evaded day after day in the justconcluded budgetsession  i pla  tcouyasviauza"
"91","1","icymi in the budgetsession a noconfidence motion was evaded day after day however lok sabha speaker sumitra m  tcodtermwzrtg"
"92","1","rt mosharibhai on the occasion of inauguration of annexe building of western court by honble prime minister sh narendra modi ji and hon "
"93","1","rt iamkavitharao andhrapradesh tdp mps protest in loksabha speakers chamber speaker sumitra mahajan left the chamber even before mps "
"94","1","rt firstpost in the budgetsession a noconfidence motion was evaded day after day however lok sabha speaker sumitra mahajan could hav "
"95","1","rt ysjagancm the mps submitted their resignations to lok sabha speaker sumitra mahajan over the nda government s failure to grant spec "
"96","1","in the budgetsession a noconfidence motion was evaded day after day however lok sabha speaker sumitra mahajan  tcoygdzzwjpa"
"97","1","rt arunmsk congress may boycott bjp spokespersons arnab on republic and navikakumar on timesnow how long congress can boycott bjp spo "
"98","1","rt mosharibhai on the occasion of inauguration of annexe building of western court by honble prime minister sh narendra modi ji and hon "
"99","1","rt iamkavitharao andhrapradesh tdp mps protest in loksabha speakers chamber speaker sumitra mahajan left the chamber even before mps "
"100","1","rt narendramodi inaugurated the newly constructed western court annexe in delhi i congratulate speaker sumitra mahajan ji and all those "
